geo,year,part_time
DE40,2016,262266.0
DE40,2017,268179.0
DE40,2018,267682.0
DE40,2019,280165.0
DE40,2020,271935.0
DE40,2021,302697.0
DE40,2022,275565.0
DE40,2023,287194.0
DE50,2008,90404.0
DE50,2009,94426.0
DE50,2010,84809.0
DE50,2011,83251.0
DE50,2012,82090.0
DE50,2013,89723.0
DE50,2014,86866.0
DE50,2015,95186.0
DE50,2016,93682.0
DE50,2017,96965.0
DE50,2018,93408.0
DE50,2019,97917.0
DE50,2020,97027.0
DE50,2021,98207.0
DE50,2022,95297.0
DE50,2023,98047.0
DE60,2008,236359.0
DE60,2009,186625.0
DE60,2010,183383.0
DE60,2011,181564.0
DE60,2012,192841.0
DE60,2013,215582.0
DE60,2014,215462.0
DE60,2015,223224.0
DE60,2016,215423.0
DE60,2017,223332.0
DE60,2018,218306.0
DE60,2019,248581.0
DE60,2020,250588.0
DE60,2021,259055.0
DE60,2022,235077.0
DE60,2023,243200.0
DE70,2008,785368.0
DE70,2009,736320.0
DE70,2010,733274.0
DE70,2011,762711.0
DE70,2012,757714.0
DE70,2013,803017.0
DE70,2014,787690.0
DE70,2015,819124.0
DE70,2016,855698.0
DE70,2017,862068.0
DE70,2018,843662.0
DE70,2019,872619.0
DE70,2020,856908.0
DE70,2021,874106.0
DE70,2022,875487.0
DE70,2023,898274.0
DE80,2008,179604.0
DE80,2009,151633.0
DE80,2010,154782.0
DE80,2011,142127.0
DE80,2012,157687.0
DE80,2013,168810.0
DE80,2014,178255.0
DE80,2015,200181.0
DE80,2016,206932.0
DE80,2017,211337.0
DE80,2018,210066.0
DE80,2019,216980.0
DE80,2020,195865.0
DE80,2021,213025.0
DE80,2022,208086.0
DE80,2023,214598.0
DE90,2008,922471.0
DE90,2009,887855.0
DE90,2010,884357.0
DE90,2011,905790.0
DE90,2012,938152.0
DE90,2013,988141.0
DE90,2014,973411.0
DE90,2015,1019310.0
DE90,2016,1052583.0
DE90,2017,1041431.0
DE90,2018,1067648.0
DE90,2019,1101997.0
DE90,2020,1092489.0
