geo,year,involuntary_temporary
EL54,2018,3652.0
EL54,2019,5887.0
EL54,2020,5732.0
EL54,2021,3525.0
EL54,2022,7860.0
EL54,2023,4947.0
EL61,2008,17595.0
EL61,2009,16086.0
EL61,2010,13311.0
EL61,2011,10115.0
EL61,2012,9994.0
EL61,2013,11994.0
EL61,2014,11981.0
EL61,2015,10646.0
EL61,2016,13673.0
EL61,2017,12530.0
EL61,2018,11776.0
EL61,2019,13132.0
EL61,2020,12499.0
EL61,2021,16263.0
EL61,2022,7418.0
EL61,2023,21110.0
EL62,2008,6804.0
EL62,2009,6544.0
EL62,2010,7938.0
EL62,2011,9099.0
EL62,2012,7847.0
EL62,2013,5099.0
EL62,2014,6155.0
EL62,2015,7739.0
EL62,2016,6963.0
EL62,2017,8080.0
EL62,2018,11790.0
EL62,2019,13730.0
EL62,2020,4491.0
EL62,2021,4523.0
EL62,2022,1665.0
EL62,2023,4823.0
EL63,2008,10822.0
EL63,2009,13363.0
EL63,2010,15210.0
EL63,2011,10429.0
EL63,2012,6755.0
EL63,2013,6546.0
EL63,2014,9161.0
EL63,2015,15703.0
EL63,2016,15400.0
EL63,2017,12085.0
EL63,2018,11306.0
EL63,2019,16616.0
EL63,2020,11544.0
EL63,2021,10998.0
EL63,2022,6566.0
EL63,2023,13849.0
EL64,2008,12812.0
EL64,2009,10546.0
EL64,2010,8709.0
EL64,2011,5879.0
EL64,2012,4544.0
EL64,2013,5382.0
EL64,2014,5035.0
EL64,2015,5758.0
EL64,2016,6058.0
EL64,2017,6602.0
EL64,2018,8870.0
EL64,2019,9628.0
EL64,2020,7388.0
EL64,2021,10516.0
EL64,2022,4315.0
EL64,2023,5310.0
EL65,2008,8036.0
EL65,2009,9193.0
EL65,2010,10546.0
EL65,2011,11565.0
EL65,2012,10477.0
EL65,2013,10788.0
EL65,2014,10641.0
EL65,2015,10752.0
EL65,2016,11782.0
EL65,2017,10674.0
EL65,2018,10409.0
EL65,2019,12365.0
EL65,2020,11584.0
EL65,2021,5808.0
EL65,2022,11407.0
EL65,2023,10247.0
ES11,2008,187020.0
ES11,2009,189230.0
ES11,2010,173848.0
ES11,2011,143538.0
ES11,2012,160568.0
ES11,2013,147247.0
ES11,2014,138026.0
ES11,2015,170493.0
ES11,2016,181265.0
ES11,2017,178028.0
ES11,2018,173403.0
ES11,2019,172241.0
ES11,2020,168372.0
ES11,2021,139399.0
ES11,2022,107874.0
ES11,2023,82982.0
ES12,2008,69565.0
ES12,2009,67713.0
ES12,2010,56782.0
ES12,2011,65845.0
ES12,2012,54897.0
ES12,2013,58729.0
ES12,2014,69638.0
ES12,2015,67168.0
ES12,2016,64931.0
ES12,2017,69962.0
ES12,2018,62967.0
ES12,2019,61202.0
ES12,2020,62424.0
ES12,2021,51159.0
ES12,2022,46324.0
ES12,2023,29923.0
ES13,2008,38300.0
ES13,2009,34678.0
ES13,2010,35320.0
ES13,2011,32700.0
ES13,2012,32121.0
ES13,2013,27411.0
ES13,2014,36986.0
ES13,2015,36541.0
ES13,2016,36197.0
ES13,2017,38033.0
ES13,2018,37370.0
ES13,2019,41524.0
ES13,2020,38121.0
ES13,2021,40461.0
ES13,2022,31467.0
ES13,2023,26467.0
ES21,2008,162126.0
ES21,2009,145538.0
ES21,2010,131168.0
ES21,2011,154964.0
ES21,2012,120522.0
ES21,2013,124272.0
ES21,2014,136602.0
ES21,2015,147005.0
ES21,2016,150955.0
ES21,2017,160112.0
ES21,2018,174672.0
ES21,2019,157689.0
ES21,2020,130375.0
ES21,2021,140932.0
ES21,2022,140293.0
ES21,2023,121421.0
ES22,2008,47810.0
ES22,2009,41011.0
ES22,2010,42485.0
ES22,2011,43734.0
ES22,2012,37219.0
ES22,2013,33854.0
ES22,2014,42577.0
ES22,2015,48455.0
ES22,2016,51997.0
ES22,2017,49337.0
ES22,2018,47996.0
ES22,2019,44800.0
ES22,2020,44707.0
ES22,2021,40765.0
ES22,2022,32619.0
ES22,2023,41749.0
ES23,2008,18476.0
ES23,2009,16493.0
