geo,year,EU_labor_market_workforce_education__geo_label,EU_labor_market_workforce_education__Country_code,EU_labor_market_workforce_education__education_level,EU_labor_market_workforce_education__education_level_pct,EU_labor_market_workforce_education__education_level_pct_diff,_row_order_,__conflict_file
BE2,2018,Vlaams Gewest,BE,medium,39.9,3.367875647668386,6334,EU_labor_market_workforce_education
BE2,2018,Vlaams Gewest,BE,high,41.1,0.7352941176470693,12607,EU_labor_market_workforce_education
BE2,2019,Vlaams Gewest,BE,low,18.4,-3.157894736842113,62,EU_labor_market_workforce_education
BE2,2019,Vlaams Gewest,BE,medium,40.6,1.754385964912288,6335,EU_labor_market_workforce_education
BE2,2019,Vlaams Gewest,BE,high,41.0,-0.2433090024330934,12608,EU_labor_market_workforce_education
BE2,2020,Vlaams Gewest,BE,low,17.7,-3.8043478260869534,63,EU_labor_market_workforce_education
BE2,2020,Vlaams Gewest,BE,medium,39.6,-2.463054187192118,6336,EU_labor_market_workforce_education
BE2,2020,Vlaams Gewest,BE,high,42.7,4.146341463414641,12609,EU_labor_market_workforce_education
BE2,2021,Vlaams Gewest,BE,low,15.9,-10.169491525423725,64,EU_labor_market_workforce_education
BE2,2021,Vlaams Gewest,BE,medium,38.7,-2.272727272727269,6337,EU_labor_market_workforce_education
BE2,2021,Vlaams Gewest,BE,high,45.4,6.323185011709591,12610,EU_labor_market_workforce_education
BE2,2022,Vlaams Gewest,BE,low,14.6,-8.176100628930822,65,EU_labor_market_workforce_education
BE2,2022,Vlaams Gewest,BE,medium,38.7,0.0,6338,EU_labor_market_workforce_education
BE2,2022,Vlaams Gewest,BE,high,46.7,2.863436123348027,12611,EU_labor_market_workforce_education
BE2,2023,Vlaams Gewest,BE,low,15.8,8.219178082191789,66,EU_labor_market_workforce_education
BE2,2023,Vlaams Gewest,BE,medium,38.9,0.5167958656330639,6339,EU_labor_market_workforce_education
BE2,2023,Vlaams Gewest,BE,high,45.4,-2.783725910064249,12612,EU_labor_market_workforce_education
BE2,2024,Vlaams Gewest,BE,low,15.1,-4.430379746835449,67,EU_labor_market_workforce_education
