geo,year,involuntary_part_time
ES11,2008,32356.0
ES11,2009,33915.0
ES11,2010,42627.0
ES11,2011,55039.0
ES11,2012,60367.0
ES11,2013,70309.0
ES11,2014,70245.0
ES11,2015,75327.0
ES11,2016,72713.0
ES11,2017,63625.0
ES11,2018,66749.0
ES11,2019,66667.0
ES11,2020,60703.0
ES11,2021,55810.0
ES11,2022,49489.0
ES11,2023,63642.0
ES12,2008,14691.0
ES12,2009,12978.0
ES12,2010,15519.0
ES12,2011,23166.0
ES12,2012,18488.0
ES12,2013,32114.0
ES12,2014,25870.0
ES12,2015,31318.0
ES12,2016,30179.0
ES12,2017,27822.0
ES12,2018,29337.0
ES12,2019,25928.0
ES12,2020,21010.0
ES12,2021,26310.0
ES12,2022,24575.0
ES12,2023,20006.0
ES13,2008,5075.0
ES13,2009,7853.0
ES13,2010,5908.0
ES13,2011,11688.0
ES13,2012,12443.0
ES13,2013,15515.0
ES13,2014,17705.0
ES13,2015,15040.0
ES13,2016,15782.0
ES13,2017,15625.0
ES13,2018,15084.0
ES13,2019,16523.0
ES13,2020,17192.0
ES13,2021,13230.0
ES13,2022,12836.0
ES13,2023,13222.0
ES21,2008,36402.0
ES21,2009,45044.0
ES21,2010,45813.0
ES21,2011,57551.0
ES21,2012,51178.0
ES21,2013,63707.0
ES21,2014,77250.0
ES21,2015,67546.0
ES21,2016,67845.0
ES21,2017,71576.0
ES21,2018,66248.0
ES21,2019,51033.0
ES21,2020,56091.0
ES21,2021,65450.0
ES21,2022,55520.0
ES21,2023,58435.0
ES22,2008,8676.0
ES22,2009,15988.0
ES22,2010,12039.0
ES22,2011,14307.0
ES22,2012,14278.0
ES22,2013,13742.0
ES22,2014,20605.0
ES22,2015,26145.0
ES22,2016,25068.0
ES22,2017,17948.0
ES22,2018,18315.0
ES22,2019,20421.0
ES22,2020,14588.0
ES22,2021,14529.0
ES22,2022,19605.0
ES22,2023,12561.0
ES23,2008,3735.0
ES23,2009,3651.0
ES23,2010,6470.0
ES23,2011,6486.0
ES23,2012,6827.0
ES23,2013,8670.0
ES23,2014,8742.0
ES23,2015,9493.0
ES23,2016,5618.0
ES23,2017,7990.0
ES23,2018,8719.0
ES23,2019,5970.0
ES23,2020,7085.0
ES23,2021,5031.0
ES23,2022,6854.0
ES23,2023,7219.0
ES24,2008,10236.0
ES24,2009,19060.0
ES24,2010,23736.0
ES24,2011,32179.0
ES24,2012,33192.0
ES24,2013,40593.0
ES24,2014,38370.0
ES24,2015,31208.0
ES24,2016,24294.0
ES24,2017,34121.0
ES24,2018,32845.0
ES24,2019,29301.0
ES24,2020,26896.0
ES24,2021,35172.0
ES24,2022,26322.0
ES24,2023,22932.0
ES30,2008,80848.0
ES30,2009,115412.0
ES30,2010,114179.0
ES30,2011,145264.0
ES30,2012,180713.0
ES30,2013,173558.0
ES30,2014,163339.0
ES30,2015,159772.0
ES30,2016,165597.0
ES30,2017,180088.0
ES30,2018,154115.0
ES30,2019,187259.0
ES30,2020,158385.0
ES30,2021,171170.0
ES30,2022,147919.0
ES30,2023,164464.0
ES41,2008,36294.0
ES41,2009,34536.0
ES41,2010,44254.0
ES41,2011,53342.0
ES41,2012,54656.0
ES41,2013,58671.0
ES41,2014,76790.0
ES41,2015,61697.0
ES41,2016,60594.0
ES41,2017,62260.0
ES41,2018,55537.0
ES41,2019,62491.0
ES41,2020,49282.0
ES41,2021,56192.0
ES41,2022,59189.0
ES41,2023,50421.0
ES42,2008,22677.0
ES42,2009,37907.0
ES42,2010,34789.0
ES42,2011,30446.0
ES42,2012,42940.0
ES42,2013,50613.0
ES42,2014,45465.0
ES42,2015,44460.0
ES42,2016,46882.0
ES42,2017,42783.0
ES42,2018,40195.0
ES42,2019,47744.0
ES42,2020,44015.0
ES42,2021,45595.0
ES42,2022,37037.0
ES42,2023,46320.0
ES43,2008,13745.0
ES43,2009,18595.0
ES43,2010,18965.0
ES43,2011,27009.0
ES43,2012,23590.0
ES43,2013,29378.0
ES43,2014,23354.0
ES43,2015,31057.0
ES43,2016,33156.0
ES43,2017,26924.0
ES43,2018,30176.0
ES43,2019,38945.0
ES43,2020,25887.0
ES43,2021,27342.0
ES43,2022,26835.0
ES43,2023,24197.0
ES51,2008,81774.0
ES51,2009,125322.0
ES51,2010,124415.0
ES51,2011,166923.0
ES51,2012,190533.0
ES51,2013,220355.0
ES51,2014,178805.0
