geo,year,involuntary_temporary
DK01,2019,23469.0
DK01,2020,22450.0
DK01,2021,8918.0
DK01,2022,8972.0
DK01,2023,6355.0
DK02,2008,6946.0
DK02,2009,8213.0
DK02,2010,9127.0
DK02,2011,9839.0
DK02,2012,8491.0
DK02,2013,8238.0
DK02,2014,8729.0
DK02,2015,6471.0
DK02,2016,9284.0
DK02,2017,10828.0
DK02,2018,8339.0
DK02,2019,8953.0
DK02,2020,8607.0
DK02,2021,4731.0
DK02,2022,2831.0
DK02,2023,2438.0
DK03,2008,11369.0
DK03,2009,12716.0
DK03,2010,12319.0
DK03,2011,12311.0
DK03,2012,13527.0
DK03,2013,12447.0
DK03,2014,15234.0
DK03,2015,10488.0
DK03,2016,14394.0
DK03,2017,19711.0
DK03,2018,14069.0
DK03,2019,13485.0
DK03,2020,11945.0
DK03,2021,6774.0
DK03,2022,4019.0
DK03,2023,4909.0
DK04,2008,12897.0
DK04,2009,15258.0
DK04,2010,16088.0
DK04,2011,14019.0
DK04,2012,14545.0
DK04,2013,15851.0
DK04,2014,16666.0
DK04,2015,14680.0
DK04,2016,15660.0
DK04,2017,18808.0
DK04,2018,15785.0
DK04,2019,15275.0
DK04,2020,12929.0
DK04,2021,7479.0
DK04,2022,3670.0
DK04,2023,5222.0
DK05,2008,7224.0
DK05,2009,7413.0
DK05,2010,6439.0
DK05,2011,6869.0
DK05,2012,6644.0
DK05,2013,7808.0
DK05,2014,6568.0
DK05,2015,4422.0
DK05,2016,8169.0
DK05,2017,8931.0
DK05,2018,6970.0
DK05,2019,6588.0
DK05,2020,5593.0
DK05,2021,2936.0
DK05,2022,1962.0
DK05,2023,1537.0
EE00,2008,3063.0
EE00,2009,2698.0
EE00,2010,4955.0
EE00,2011,5581.0
EE00,2012,5607.0
EE00,2013,4128.0
EE00,2014,2823.0
EE00,2015,3457.0
EE00,2016,3034.0
EE00,2017,1627.0
EE00,2018,2433.0
EE00,2019,847.0
EE00,2020,1652.0
EE00,2021,2251.0
EE00,2022,773.0
EE00,2023,766.0
EL30,2008,49786.0
EL30,2009,55552.0
EL30,2010,59673.0
EL30,2011,56830.0
EL30,2012,30743.0
EL30,2013,25257.0
EL30,2014,27653.0
EL30,2015,32066.0
EL30,2016,31304.0
EL30,2017,36018.0
EL30,2018,31680.0
EL30,2019,37653.0
EL30,2020,40469.0
EL30,2021,33567.0
EL30,2022,16561.0
EL30,2023,51921.0
EL41,2008,1990.0
EL41,2009,2411.0
EL41,2010,3928.0
EL41,2011,3769.0
EL41,2012,3076.0
EL41,2013,2041.0
EL41,2014,3645.0
EL41,2015,2786.0
EL41,2016,2236.0
EL41,2017,3005.0
EL41,2018,3803.0
EL41,2019,4546.0
EL41,2020,4122.0
EL41,2021,2756.0
EL41,2022,2435.0
EL41,2023,1879.0
EL42,2008,8471.0
EL42,2009,11304.0
EL42,2010,12600.0
EL42,2011,13224.0
EL42,2012,10757.0
