NUTS2,NUTS3,Year,Turnover_Catering,Turnover_Accomodation
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,2022,39749.0,10235
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,2023,49936.0,12390
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,2024,56685.0,15666
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2019,67016,11669
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2020,54193,6935
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2021,60855,8856
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2022,88045.0,14973
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2023,109934.0,16997
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2024,115566.0,17630
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΧΑΪΑΣ,2019,112074,27232
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΧΑΪΑΣ,2020,93741,13508
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΧΑΪΑΣ,2021,117837,21934
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΧΑΪΑΣ,2022,167371.0,33485
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΧΑΪΑΣ,2023,196729.0,37173
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΧΑΪΑΣ,2024,198319.0,39299
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΗΛΕΙΑΣ,2019,39788,28774
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΗΛΕΙΑΣ,2020,29896,8563
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΗΛΕΙΑΣ,2021,37296,17802
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΗΛΕΙΑΣ,2022,57072.0,31577
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΗΛΕΙΑΣ,2023,65394.0,35501
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΗΛΕΙΑΣ,2024,69028.0,37957
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΓΡΕΒΕΝΩΝ,2019,9075,3609
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΓΡΕΒΕΝΩΝ,2020,7172,3191
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΓΡΕΒΕΝΩΝ,2021,7112,1530
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΓΡΕΒΕΝΩΝ,2022,10818.0,
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΓΡΕΒΕΝΩΝ,2023,13082.0,1428
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΓΡΕΒΕΝΩΝ,2024,12718.0,1552
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΑΣΤΟΡΙΑΣ,2019,11001,9473
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΑΣΤΟΡΙΑΣ,2020,7334,3602
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΑΣΤΟΡΙΑΣ,2021,9482,4442
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΑΣΤΟΡΙΑΣ,2022,15264.0,8158
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΑΣΤΟΡΙΑΣ,2023,17540.0,11011
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΑΣΤΟΡΙΑΣ,2024,18260.0,12238
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΖΑΝΗΣ,2019,37798,13532
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΖΑΝΗΣ,2020,30466,6752
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΖΑΝΗΣ,2021,37286,10769
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΖΑΝΗΣ,2022,55500.0,14990
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΖΑΝΗΣ,2023,63681.0,17420
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΖΑΝΗΣ,2024,63277.0,18158
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,2019,11527,2161
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,2020,9826,1545
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,2021,12173,1456
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,2022,18464.0,2644
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,2023,21033.0,3993
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,2024,22211.0,4471
ΗΠΕΙΡΟΥ,ΑΡΤΑΣ,2019,17647,2785
ΗΠΕΙΡΟΥ,ΑΡΤΑΣ,2020,14588,1499
ΗΠΕΙΡΟΥ,ΑΡΤΑΣ,2021,17620,2070
ΗΠΕΙΡΟΥ,ΑΡΤΑΣ,2022,23140.0,2898
ΗΠΕΙΡΟΥ,ΑΡΤΑΣ,2023,25784.0,3389
ΗΠΕΙΡΟΥ,ΑΡΤΑΣ,2024,24737.0,3987
ΗΠΕΙΡΟΥ,ΘΕΣΠΡΩΤΙΑΣ,2019,23904,15000
ΗΠΕΙΡΟΥ,ΘΕΣΠΡΩΤΙΑΣ,2020,17513,8212
ΗΠΕΙΡΟΥ,ΘΕΣΠΡΩΤΙΑΣ,2021,25743,13981
ΗΠΕΙΡΟΥ,ΘΕΣΠΡΩΤΙΑΣ,2022,34570.0,20465
ΗΠΕΙΡΟΥ,ΘΕΣΠΡΩΤΙΑΣ,2023,39353.0,23344
ΗΠΕΙΡΟΥ,ΘΕΣΠΡΩΤΙΑΣ,2024,39059.0,24438
ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,2019,78166,34183
ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,2020,56473,14096
ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,2021,75784,23793
