NUTS,Year,GVA,Total
Kozani,2003,281.261301,2197.510811
Kastoria,2003,102.366835,458.853241
Florina,2003,81.117078,724.24688
Ipeiros,2003,874.101202,3621.422931
Arta,2003,130.403408,663.902569
Preveza,2003,156.515037,599.773977
Thesprotia,2003,201.235969,639.171369
Ioannina,2003,385.946789,1718.575016
KENTRIKI ELLADA,2003,8059.557587,34116.982297
Thessalia,2003,1870.664315,8536.953248
Karditsa,2003,229.55868,1040.692062
Trikala,2003,290.509845,1314.241868
Larisa,2003,622.972013,3682.842789
Magnisia,2003,727.623777,2499.17653
Ionia Nisia,2003,1363.311277,2927.297302
Zakynthos,2003,337.974578,686.545067
Kerkyra,2003,692.816542,1474.742876
"Ithaki, Kefallinia",2003,263.494934,544.058772
Lefkada,2003,69.025223,221.950586
Dytiki Ellada,2003,1857.632126,7657.710811
Aitoloakarnania,2003,574.563053,2160.221406
Achaia,2003,929.172855,3879.13611
Ileia,2003,353.896218,1618.353295
Sterea Ellada,2003,1460.321526,8082.288724
Voiotia,2003,231.613127,2502.228996
Evvoia,2003,695.436097,2816.003018
Evrytania,2003,43.602032,185.844348
Fthiotida,2003,405.748289,2127.970796
Fokida,2003,83.921982,450.241566
Peloponnisos,2003,1507.628343,6912.732213
Argolida,2003,317.175621,1283.332453
Arkadia,2003,188.046688,1221.687337
Korinthia,2003,400.693461,1798.258015
Lakonia,2003,247.011093,962.880238
Messinia,2003,354.70148,1646.574169
ELLADA,2004,42535.568658,169962.405796
ATTIKI,2004,18550.059241,79370.020683
Attiki,2004,18550.059241,79370.020683
Voreios Tomeas Athinon,2004,2453.090744,12388.749471
Dytikos Tomeas Athinon,2004,1577.054974,5763.562707
Kentrikos Tomeas Athinon,2004,5997.863552,29184.582236
Notios Tomeas Athinon,2004,2734.055222,9512.831443
Anatoliki Attiki,2004,1864.481118,8316.095442
Dytiki Attiki,2004,814.985045,4272.678473
"Peiraias, Nisoi",2004,3108.528585,9931.520911
"NISIA AIGAIOU, KRITI",2004,6075.222438,16265.549142
Voreio Aigaio,2004,695.976768,2286.781298
"Lesvos, Limnos",2004,327.949352,1169.371714
"Ikaria, Samos",2004,178.479384,495.158912
Chios,2004,189.548032,622.250672
Notio Aigaio,2004,2583.188616,5439.508106
"Kalymnos, Karpathos, Kos, Rodos",2004,1381.833963,3024.702881
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2004,1201.354653,2414.805225
Kriti,2004,2796.057054,8539.259738
Irakleio,2004,1391.304547,4132.316791
Lasithi,2004,297.890244,1013.472672
Rethymni,2004,399.423069,1213.827187
Chania,2004,707.439193,2179.643088
VOREIA ELLADA,2004,9073.320281,38021.650042
"Anatoliki Makedonia, Thraki",2004,1597.152296,6648.558881
Evros,2004,367.57802,1553.602205
Xanthi,2004,225.784522,1164.187477
Rodopi,2004,194.468213,1226.86054
Drama,2004,204.348243,993.255643
"Thasos, Kavala",2004,604.973298,1710.653017
Kentriki Makedonia,2004,5997.178068,23648.233879
Imathia,2004,376.243395,1638.196408
Thessaloniki,2004,3915.468474,15301.060126
Kilkis,2004,147.118759,923.272595
Pella,2004,320.47482,1524.35641
Pieria,2004,408.899591,1277.464033
Serres,2004,378.464188,1660.304421
Chalkidiki,2004,450.508841,1323.579887
Dytiki Makedonia,2004,535.151864,3949.275659
Grevena,2004,50.981137,310.225844
Kozani,2004,292.748417,2345.924916
Kastoria,2004,106.808088,480.406222
Florina,2004,84.614221,812.718678
Ipeiros,2004,943.838053,3775.581622
Arta,2004,135.863627,666.23176
Preveza,2004,153.345446,599.952709
Thesprotia,2004,224.570282,657.485546
Ioannina,2004,430.058698,1851.911608
KENTRIKI ELLADA,2004,8836.966698,36305.185929
Thessalia,2004,2020.312046,9187.3408
Karditsa,2004,242.823179,1145.719261
Trikala,2004,306.809216,1420.432123
Larisa,2004,690.723774,3978.991622
Magnisia,2004,779.955878,2642.197794
Ionia Nisia,2004,1484.334181,3157.232986
Zakynthos,2004,372.121298,714.604416
Kerkyra,2004,712.428767,1584.77991
"Ithaki, Kefallinia",2004,322.127683,613.47291
Lefkada,2004,77.656433,244.37575
Dytiki Ellada,2004,2075.216819,8335.121055
Aitoloakarnania,2004,648.538294,2416.166726
Achaia,2004,1015.258729,4268.566514
Ileia,2004,411.419796,1650.387815
Sterea Ellada,2004,1636.688552,8404.040972
Voiotia,2004,241.064396,2565.435669
Evvoia,2004,762.191882,2959.467432
Evrytania,2004,32.917946,185.494725
Fthiotida,2004,513.368868,2210.9304
Fokida,2004,87.145459,482.712746
Peloponnisos,2004,1620.415101,7221.450116
Argolida,2004,338.440234,1314.393179
Arkadia,2004,210.059485,1308.139246
Korinthia,2004,431.429624,1842.320733
Lakonia,2004,271.975134,1028.440428
Messinia,2004,368.510624,1728.15653
ELLADA,2005,44115.996685,174351.581775
ATTIKI,2005,18833.434701,82002.169467
Attiki,2005,18833.434701,82002.169467
Voreios Tomeas Athinon,2005,2451.92098,13263.795819
Dytikos Tomeas Athinon,2005,1551.81906,5847.808533
Kentrikos Tomeas Athinon,2005,5964.815392,30493.502782
Notios Tomeas Athinon,2005,2732.93168,9930.187116
Anatoliki Attiki,2005,2018.601604,8443.585655
Dytiki Attiki,2005,887.059005,3998.099962
"Peiraias, Nisoi",2005,3226.28698,10025.189601
"NISIA AIGAIOU, KRITI",2005,6570.243369,16791.126936
Voreio Aigaio,2005,774.942834,2416.125545
"Lesvos, Limnos",2005,346.93934,1263.101477
"Ikaria, Samos",2005,224.358568,549.775752
Chios,2005,203.644925,603.248315
Notio Aigaio,2005,2912.674258,5745.584279
"Kalymnos, Karpathos, Kos, Rodos",2005,1433.612311,3100.260364
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2005,1479.061947,2645.323915
Kriti,2005,2882.626277,8629.417113
Irakleio,2005,1389.568647,4126.559541
Lasithi,2005,311.371567,1080.252086
Rethymni,2005,408.172272,1240.146586
Chania,2005,773.513791,2182.4589
VOREIA ELLADA,2005,9324.868782,38524.836535
