geo,year,greek_tourism_Stays__Hotel_Stays_Natives,greek_tourism_Stays__Hotel_Stays_Foreign,greek_tourism_Stays__Hotel_Stays_Total,greek_tourism_Stays__Hotel_Beds,greek_tourism_Stays__Hotel_Occupancy,greek_tourism_Stays__Hotel_Stays_Natives_pct_diff,greek_tourism_Stays__Hotel_Stays_Foreign_pct_diff,greek_tourism_Stays__Hotel_Stays_Total_pct_diff,greek_tourism_Stays__Hotel_Occupancy_pct_diff,_row_order_,__conflict_file
EL422,2022,104858,80509,185367,2512,38.5,1.879056391123548,27.18239550093204,11.515045781045083,-13.288288288288284,779,greek_tourism_Stays
EL422,2022,106534,24864,131398,2336,30.1,80.72845098139007,45.45454545454545,72.79888481214081,9.45454545454546,788,greek_tourism_Stays
EL422,2023,55796,37454,93250,1384,37.4,8.240862885077986,7.666657084543077,8.009497886141194,-1.3192612137203166,213,greek_tourism_Stays
EL422,2023,199271,2165283,2364554,20458,54.9,15.72672207025919,19.158580717873765,18.8615291039468,7.226562499999992,402,greek_tourism_Stays
EL422,2023,52307,136623,188930,2947,35.8,19.384215091066785,27.26519053962162,24.980981298828446,20.13422818791945,627,greek_tourism_Stays
EL422,2023,130233,2051848,2182081,17298,63.4,6.301372099287423,7.15483872315447,7.103516958490828,0.1579778830963687,636,greek_tourism_Stays
EL422,2023,130592,512496,643088,7725,44.7,12.215577094933664,16.43587570685648,15.553367389659838,6.682577565632469,645,greek_tourism_Stays
EL422,2023,140209,560622,700831,7690,51.0,6.229401380438983,24.476999524847795,20.34139866648122,5.809128630705388,681,greek_tourism_Stays
EL422,2023,115124,95634,210758,2279,41.5,9.790383184878598,18.78671949719907,13.697691606380854,7.792207792207792,780,greek_tourism_Stays
EL422,2023,118136,34120,152256,2193,31.8,10.890419959825032,37.22651222651223,15.873909800758002,5.647840531561459,789,greek_tourism_Stays
EL651,2015,409304,441883,851187,9750,35.0,,,,,214,greek_tourism_Stays
EL651,2015,93520,17181,110701,3154,12.4,,,,,223,greek_tourism_Stays
EL651,2016,429544,539136,968680,9873,38.8,4.944979770537302,22.008767026565856,13.803429798622394,10.857142857142849,215,greek_tourism_Stays
EL651,2016,98355,11414,109769,2967,12.4,5.170017108639864,-33.56614865258134,-0.8419074805105645,0.0,224,greek_tourism_Stays
EL651,2017,474394,554242,1028636,10644,39.0,10.441305198070513,2.801890432098765,6.189453689556923,0.5154639175257806,216,greek_tourism_Stays
EL651,2017,97834,14548,112382,2971,12.4,-0.5297137918763661,27.457508323111966,2.380453497799925,0.0,225,greek_tourism_Stays
EL651,2018,501107,758153,1259260,11392,40.9,5.630973410287651,36.79096856607764,22.42037027675485,4.871794871794869,217,greek_tourism_Stays
EL651,2018,113040,28994,142034,3531,12.2,15.54265388310812,99.29887269727796,26.385008275346586,-1.6129032258064602,226,greek_tourism_Stays
EL651,2019,522140,705603,1227743,11517,39.0,4.197307161943457,-6.931318612470043,-2.502819115988755,-4.645476772616133,218,greek_tourism_Stays
EL651,2019,126952,22970,149922,3733,12.1,12.307147912243453,-20.776712423259987,5.553599842291282,-0.8196721311475381,227,greek_tourism_Stays
EL651,2020,272344,108394,380738,8229,24.9,-47.8408089784349,-84.63810386293709,-68.98878674119909,-36.15384615384616,219,greek_tourism_Stays
EL651,2020,59371,8864,68235,3139,10.8,-53.23350557691096,-61.410535481062254,-54.48633289310442,-10.743801652892554,228,greek_tourism_Stays
EL651,2021,409818,238976,648794,8532,36.7,50.47807185030696,120.46976769931914,70.4043200310975,47.38955823293175,220,greek_tourism_Stays
EL651,2021,72185,18642,90827,2207,16.7,21.582927691970827,110.31137184115522,33.10910822891478,54.62962962962962,229,greek_tourism_Stays
EL651,2022,460836,537870,998706,11387,43.6,12.44894074930823,125.07281065881092,53.932681251676186,18.801089918256125,221,greek_tourism_Stays
EL651,2022,115275,18795,134070,3506,16.7,59.69384221098566,0.8207273897650467,47.61029209376066,0.0,230,greek_tourism_Stays
EL651,2023,517542,603192,1120734,11977,43.4,12.305028253001067,12.14457024931675,12.218610882481933,-0.4587155963302817,222,greek_tourism_Stays
EL651,2023,131758,22362,154120,3182,18.5,14.298850574712644,18.97845171588188,14.954874319385397,10.77844311377246,231,greek_tourism_Stays
