geo,nuts_label,nuts_level,year,Hotel_Arrivals_Natives,Hotel_Arrivals_Foreign,Hotel_Arrivals_Total,Hotel_Beds,Hotel_Arrivals_Natives_pct_diff,Hotel_Arrivals_Foreign_pct_diff,Hotel_Arrivals_Total_pct_diff,Hotel_Beds_pct_diff
EL421,Ρόδος,3,2018,181396,2275244,2456640,110394,58.12615502632589,29.644049862307146,31.39156949022549,20.885667042629844
EL421,Κάλυμνος,3,2019,27789,52119,79908,5306,-19.220371500828463,7.532805149789552,-3.5731093653839188,-4.808037316110513
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,3,2019,10589,79287,89876,6483,11.41624579124579,0.4204926857070483,1.601872053719802,7.3344370860927155
EL421,Κως,3,2019,68229,1229686,1297915,65040,-8.058321766901589,6.505787425989891,5.62622631697593,5.054029170906624
EL421,Ρόδος,3,2019,182613,2236949,2419562,114555,0.6709078480231097,-1.6831161844619742,-1.5092972515305458,3.7692265884015432
EL421,Κάλυμνος,3,2020,15127,13480,28607,3912,-45.56479182410306,-74.13611159078263,-64.20008009210592,-26.272144741801736
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,3,2020,10073,10895,20968,3709,-4.872981395788082,-86.25878138913062,-76.67007877520139,-42.78883233071109
EL421,Κως,3,2020,29951,405991,435942,38221,-56.102243913878254,-66.98417319543363,-66.41213022424427,-41.23462484624847
EL421,Ρόδος,3,2020,62694,613062,675756,67638,-65.66838067388412,-72.5938320453439,-72.07114345488978,-40.955872724891975
EL421,Κάλυμνος,3,2021,15890,32919,48809,3417,5.043961129106895,144.20623145400592,70.61907924633832,-12.653374233128831
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,3,2021,6114,29146,35260,2841,-39.30308746153082,167.51720972923357,68.16100724914155,-23.402534375842546
EL421,Κως,3,2021,35444,691246,726690,48553,18.33995526025842,70.2614097356838,66.69419326424158,27.032259752492088
EL421,Ρόδος,3,2021,113046,1438356,1551402,92093,80.31390563690304,134.61835833896083,129.5802035054073,36.15571128655489
EL421,Κάλυμνος,3,2022,25515,46831,72346,5289,60.57268722466961,42.26130805917555,48.22266385297793,54.78489903424057
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,3,2022,12186,79745,91931,6456,,,,
EL421,Κως,3,2022,63621,1177478,1241099,59163,79.49723507504797,70.34138353060995,70.78795635002547,21.852408708009804
EL421,Ρόδος,3,2022,161051,2101370,2262421,105755,42.465014241989984,46.09526431564925,45.830738905841294,14.835003746213069
EL421,Κάλυμνος,3,2023,29645,57751,87396,4935,16.18655692729767,23.317887723943542,20.80280872473945,-6.693136698808849
EL421,Κάρπαθος – Ηρωική Νήσος Κάσος,3,2023,14011,89130,103141,6282,14.976202199245034,11.768762931845258,12.193928054736704,-2.6951672862453533
EL421,Κως,3,2023,75892,1289002,1364894,58330,19.28765659137706,9.471429614820828,9.974627326264866,-1.407974578706286
EL421,Ρόδος,3,2023,185921,2126828,2312749,103754,15.442313304481187,1.211495357790394,2.2245196627860158,-1.892109120136164
EL422,Άνδρος,3,2015,11645,4887,16532,1361,,,,
EL422,Θήρα,3,2015,16913,198416,215329,8851,,,,
EL422,Μήλος,3,2015,11499,10630,22129,1775,,,,
EL422,Μύκονος,3,2015,26794,237373,264167,8911,,,,
