Country_code,NUTS_name,year,age,skill_level,persons_per_skill_level,geo,nuts_level,nuts_label
AT,Ostösterreich,2022,15-29,1-3,176179.0,AT1,1,
AT,Ostösterreich,2022,15-29,4-5,128892.0,AT1,1,
AT,Ostösterreich,2022,15-29,6-8,66309.0,AT1,1,
AT,Ostösterreich,2022,15-29,9,18012.0,AT1,1,
AT,Ostösterreich,2022,15-29,10,0.0,AT1,1,
AT,Ostösterreich,2022,15-64,1-3,900135.0,AT1,1,
AT,Ostösterreich,2022,15-64,4-5,500791.0,AT1,1,
AT,Ostösterreich,2022,15-64,6-8,310943.0,AT1,1,
AT,Ostösterreich,2022,15-64,9,133935.0,AT1,1,
AT,Ostösterreich,2022,15-64,10,0.0,AT1,1,
AT,Ostösterreich,2022,30-64,1-3,723956.0,AT1,1,
AT,Ostösterreich,2022,30-64,4-5,371899.0,AT1,1,
AT,Ostösterreich,2022,30-64,6-8,244633.0,AT1,1,
AT,Ostösterreich,2022,30-64,9,114761.0,AT1,1,
AT,Ostösterreich,2022,30-64,10,0.0,AT1,1,
AT,Ostösterreich,2023,15-29,1-3,178907.0,AT1,1,
AT,Ostösterreich,2023,15-29,4-5,139138.0,AT1,1,
AT,Ostösterreich,2023,15-29,6-8,66458.0,AT1,1,
AT,Ostösterreich,2023,15-29,9,14130.0,AT1,1,
AT,Ostösterreich,2023,15-29,10,0.0,AT1,1,
AT,Ostösterreich,2023,15-64,1-3,936970.0,AT1,1,
AT,Ostösterreich,2023,15-64,4-5,496020.0,AT1,1,
AT,Ostösterreich,2023,15-64,6-8,306794.0,AT1,1,
AT,Ostösterreich,2023,15-64,9,128163.0,AT1,1,
AT,Ostösterreich,2023,15-64,10,0.0,AT1,1,
AT,Ostösterreich,2023,30-64,1-3,758063.0,AT1,1,
AT,Ostösterreich,2023,30-64,4-5,356882.0,AT1,1,
AT,Ostösterreich,2023,30-64,6-8,240337.0,AT1,1,
AT,Ostösterreich,2023,30-64,9,112978.0,AT1,1,
AT,Ostösterreich,2023,30-64,10,0.0,AT1,1,
AT,Ostösterreich,2024,15-29,1-3,176140.0,AT1,1,
AT,Ostösterreich,2024,15-29,4-5,138595.0,AT1,1,
AT,Ostösterreich,2024,15-29,6-8,57205.0,AT1,1,
AT,Ostösterreich,2024,15-29,9,19241.0,AT1,1,
AT,Ostösterreich,2024,15-29,10,0.0,AT1,1,
