geo,nuts_label,year,nuts_level,Hotel_Stays_Natives,Hotel_Stays_Foreign,Hotel_Stays_Total,Hotel_Beds,Hotel_Occupancy,Hotel_Stays_Natives_pct_diff,Hotel_Stays_Foreign_pct_diff,Hotel_Stays_Total_pct_diff,Hotel_Occupancy_pct_diff
EL422,Πάρος,2022,3,131987,450382,582369,7626,48.2,49.15133571396285,69.08325731040257,64.1127884596417,4.329004329004329
EL422,Σύρος,2022,3,104858,80509,185367,2512,38.5,1.879056391123548,27.18239550093204,11.515045781045083,-13.288288288288284
EL422,Τήνος,2022,3,106534,24864,131398,2336,30.1,80.72845098139007,45.45454545454545,72.79888481214081,9.45454545454546
EL422,Άνδρος,2023,3,55796,37454,93250,1384,37.4,8.240862885077986,7.666657084543077,8.009497886141194,-1.3192612137203166
EL422,Θήρα,2023,3,199271,2165283,2364554,20458,54.9,15.72672207025919,19.158580717873765,18.8615291039468,7.226562499999992
EL422,Μήλος,2023,3,52307,136623,188930,2947,35.8,19.384215091066785,27.26519053962162,24.980981298828446,20.13422818791945
EL422,Μύκονος,2023,3,130233,2051848,2182081,17298,63.4,6.301372099287423,7.15483872315447,7.103516958490828,0.1579778830963687
EL422,Νάξος,2023,3,130592,512496,643088,7725,44.7,12.215577094933664,16.43587570685648,15.553367389659838,6.682577565632469
EL422,Πάρος,2023,3,140209,560622,700831,7690,51.0,6.229401380438983,24.476999524847795,20.34139866648122,5.809128630705388
EL422,Σύρος,2023,3,115124,95634,210758,2279,41.5,9.790383184878598,18.78671949719907,13.697691606380854,7.792207792207792
EL422,Τήνος,2023,3,118136,34120,152256,2193,31.8,10.890419959825032,37.22651222651223,15.873909800758002,5.647840531561459
EL422,Άνδρος,2024,3,63229,43478,106707,1345,34.1,,,,
EL422,Θήρα,2024,3,193642,2153785,2347427,20752,48.5,,,,
EL422,Μήλος,2024,3,63263,153748,217011,2998,38.6,,,,
EL422,Μύκονος,2024,3,134032,1778161,1912193,17349,46.1,,,,
EL422,Νάξος,2024,3,109225,509717,618942,7879,40.4,,,,
EL422,Πάρος,2024,3,131007,534585,665592,7681,43.7,,,,
EL422,Σύρος,2024,3,124632,108822,233454,2427,42.9,,,,
EL422,Τήνος,2024,3,86089,48811,134900,2319,23.8,,,,
EL515,Θάσος,2015,3,79656,691924,771580,10355,52.9,,,,
EL515,Καβάλα,2015,3,139366,189142,328508,3068,37.1,,,,
EL515,Θάσος,2016,3,96946,650945,747891,9999,50.8,21.70583509089083,-5.922471254068365,-3.070193628658078,-3.969754253308131
EL515,Καβάλα,2016,3,145881,177113,322994,3018,37.0,4.674741328588034,-6.359772023136056,-1.6784979361233212,-0.269541778975745
EL515,Θάσος,2017,3,75376,727868,803244,10086,52.0,-22.24949972149444,11.817127407077404,7.401212208730952,2.362204724409455
EL515,Καβάλα,2017,3,143348,195906,339254,3115,38.0,-1.736346748377102,10.6107400360222,5.034149241162375,2.702702702702702
EL515,Θάσος,2018,3,116250,894569,1010819,12210,45.1,54.22680959456591,22.90264168777855,25.84208534393036,-13.269230769230766
EL515,Καβάλα,2018,3,142492,230987,373479,3301,38.0,-0.5971481987889611,17.907057466335896,10.08831141268784,0.0
EL515,Θάσος,2019,3,117515,895558,1013073,12378,44.6,1.0881720430107529,0.1105560331288028,0.2229874982563643,-1.1086474501108647
EL515,Καβάλα,2019,3,133350,245977,379327,3327,38.7,-6.41579878168599,6.489542701537316,1.565817622945333,1.8421052631579025
EL515,Θάσος,2020,3,94192,203360,297552,10374,22.1,-19.846828064502404,-77.29236967343265,-70.62877008863133,-50.44843049327354
EL515,Καβάλα,2020,3,61200,41887,103087,2715,16.5,-54.105736782902135,-82.97117210145663,-72.8237114679419,-57.36434108527132
EL515,Θάσος,2021,3,111328,530016,641344,9205,46.3,18.192627824019027,160.6294256490952,115.54014088293812,109.50226244343888
EL515,Καβάλα,2021,3,92088,91796,183884,2776,26.3,50.47058823529412,119.15152672666936,78.3774869770194,59.3939393939394
EL515,Θάσος,2022,3,111933,871450,983383,11536,52.0,0.5434392066685829,64.41956469238664,53.33159739546951,12.311015118790504
EL515,Καβάλα,2022,3,122282,215463,337745,3318,39.1,32.78820258882808,134.7193777506645,83.67285897631115,48.669201520912544
EL515,Θάσος,2023,3,120193,993071,1113264,11183,54.0,7.379414471156853,13.95616501233576,13.20757019391224,3.8461538461538463
EL515,Καβάλα,2023,3,134183,262667,396850,3369,42.8,9.73242177916619,21.90816984818739,17.499888969488815,9.462915601023008
EL515,Θάσος,2024,3,120923,1007492,1128415,11575,52.3,,,,
EL515,Καβάλα,2024,3,129059,294778,423837,3442,44.5,,,,
