geo,year,temporary_employment,geo_label,NUTS_level,Country_code,temporary_employment_diff
FR,2009,14.5,France,0,FR,-3.3333333333333335
FR,2010,15.1,France,0,FR,4.137931034482756
FR,2011,15.4,France,0,FR,1.9867549668874218
FR,2012,15.3,France,0,FR,-0.649350649350647
FR,2013,15.4,France,0,FR,0.6535947712418277
FR,2014,15.4,France,0,FR,0
FR,2015,16.1,France,0,FR,4.545454545454552
FR,2016,16.3,France,0,FR,1.242236024844716
FR,2017,16.9,France,0,FR,3.6809815950920117
FR,2018,16.7,France,0,FR,-1.1834319526627177
FR,2019,16.3,France,0,FR,-2.3952095808383147
FR,2020,15.4,France,0,FR,-5.521472392638039
FR,2021,15.1,France,0,FR,-1.9480519480519525
FR,2022,16.2,France,0,FR,7.284768211920528
FR,2023,15.7,France,0,FR,-3.08641975308642
FR,2024,15.4,France,0,FR,-1.9108280254777004
HR,1995,NA,Croatia,0,HR,NA
HR,1996,NA,Croatia,0,HR,NA
HR,1997,NA,Croatia,0,HR,NA
HR,1998,NA,Croatia,0,HR,NA
HR,1999,NA,Croatia,0,HR,NA
HR,2000,NA,Croatia,0,HR,NA
HR,2001,NA,Croatia,0,HR,NA
HR,2002,10,Croatia,0,HR,NA
HR,2003,11.4,Croatia,0,HR,14.000000000000004
HR,2004,12.4,Croatia,0,HR,8.771929824561402
HR,2005,12.3,Croatia,0,HR,-0.8064516129032229
HR,2006,12.9,Croatia,0,HR,4.878048780487801
HR,2007,13.2,Croatia,0,HR,2.325581395348829
HR,2008,12.3,Croatia,0,HR,-6.818181818181808
HR,2009,12,Croatia,0,HR,-2.439024390243908
HR,2010,12.8,Croatia,0,HR,6.666666666666672
HR,2011,13.5,Croatia,0,HR,5.468749999999995
HR,2012,13.2,Croatia,0,HR,-2.2222222222222276
HR,2013,14.4,Croatia,0,HR,9.090909090909099
HR,2014,16.7,Croatia,0,HR,15.972222222222216
HR,2015,20.1,Croatia,0,HR,20.359281437125762
HR,2016,22,Croatia,0,HR,9.452736318407952
HR,2017,20.6,Croatia,0,HR,-6.363636363636357
HR,2018,19.8,Croatia,0,HR,-3.883495145631071
HR,2019,18.1,Croatia,0,HR,-8.585858585858581
HR,2020,15.3,Croatia,0,HR,-15.46961325966851
HR,2021,13.4,Croatia,0,HR,-12.418300653594773
HR,2022,14.4,Croatia,0,HR,7.462686567164178
HR,2023,11.3,Croatia,0,HR,-21.527777777777775
HR,2024,9.3,Croatia,0,HR,-17.699115044247787
IT,1995,7.2,Italy,0,IT,NA
IT,1996,7.4,Italy,0,IT,2.77777777777778
IT,1997,7.9,Italy,0,IT,6.756756756756756
IT,1998,8.5,Italy,0,IT,7.594936708860754
IT,1999,9.8,Italy,0,IT,15.294117647058833
IT,2000,10.1,Italy,0,IT,3.061224489795907
IT,2001,9.5,Italy,0,IT,-5.940594059405938
IT,2002,9.9,Italy,0,IT,4.210526315789478
IT,2003,9.5,Italy,0,IT,-4.040404040404043
IT,2004,11.9,Italy,0,IT,25.26315789473685
IT,2005,12.2,Italy,0,IT,2.5210084033613356
