NUTS_label,NUTS_level,year,Turnover_Catering,Turnover_Accomodation,Turnover_Catering_pct_diff,Turnover_Accomodation_pct_diff
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,3,2019,67016,11669,NA,NA
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,3,2020,54193,6935,-19.134236600214873,-40.56902905133259
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,3,2021,60855,8856,12.293100584946396,27.70007209805335
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,3,2022,88045,14973,44.679976994495114,69.07181571815718
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,3,2023,109934,16997,24.86115054801522,13.517665130568357
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,3,2024,115566,17630,5.1230738443065835,3.724186621168441
ΑΝΔΡΟΥ,3,2019,9073,5758,NA,NA
ΑΝΔΡΟΥ,3,2020,6549,3748,-27.818803041992723,-34.90795415074679
ΑΝΔΡΟΥ,3,2021,10567,6270,61.352878302030845,67.28922091782283
ΑΝΔΡΟΥ,3,2022,13993,8261,32.421690167502604,31.75438596491228
ΑΝΔΡΟΥ,3,2023,15115,8331,8.018294861716573,0.8473550417624984
ΑΝΔΡΟΥ,3,2024,14683,8007,-2.8580879920608666,-3.889088944904574
ΑΡΓΟΛΙΔΑΣ,3,2019,66871,36663,NA,NA
ΑΡΓΟΛΙΔΑΣ,3,2020,48985,16273,-26.747020382527552,-55.614652374328344
ΑΡΓΟΛΙΔΑΣ,3,2021,64752,28197,32.18740430744106,73.27474958520249
ΑΡΓΟΛΙΔΑΣ,3,2022,93046,40781,43.69594761551767,44.628861226371605
ΑΡΓΟΛΙΔΑΣ,3,2023,107624,45050,15.66751929153322,10.46811014933425
ΑΡΓΟΛΙΔΑΣ,3,2024,110714,47824,2.8711068163234965,6.157602663706992
ΑΡΚΑΔΙΑΣ,3,2019,34250,6965,NA,NA
ΑΡΚΑΔΙΑΣ,3,2020,27086,5413,-20.916788321167886,-22.282842785355346
ΑΡΚΑΔΙΑΣ,3,2021,32339,5872,19.393782766004577,8.479586181415112
ΑΡΚΑΔΙΑΣ,3,2022,46102,9022,42.55852067163487,53.644414168937324
ΑΡΚΑΔΙΑΣ,3,2023,54964,10772,19.22259337989675,19.397029483484815
ΑΡΚΑΔΙΑΣ,3,2024,57027,11317,3.7533658394585547,5.059413293724471
ΑΡΤΑΣ,3,2019,17647,2785,NA,NA
ΑΡΤΑΣ,3,2020,14588,1499,-17.33439111463705,-46.175942549371634
ΑΡΤΑΣ,3,2021,17620,2070,20.784206196874145,38.092061374249496
ΑΡΤΑΣ,3,2022,23140,2898,31.32803632236095,40
ΑΡΤΑΣ,3,2023,25784,3389,11.426101987899742,16.94271911663216
ΑΡΤΑΣ,3,2024,24737,3987,-4.060657772261868,17.645323104160518
ΑΤΤΙΚΗΣ,3,2019,2447373,1674803,NA,NA
ΑΤΤΙΚΗΣ,3,2020,1848473,732109,-24.47113701099097,-56.28685881264841
ΑΤΤΙΚΗΣ,3,2021,2436255,1274737,31.798246444497703,74.11847142980076
ΑΤΤΙΚΗΣ,3,2022,3698547,2233624,51.812802846992625,75.22233998071759
ΑΤΤΙΚΗΣ,3,2023,4408579,2631652,19.197593000710818,17.81983001615312
ΑΤΤΙΚΗΣ,3,2024,4464743,2871918,1.273970592338257,9.129854555237547
ΑΧΑΪΑΣ,3,2019,112074,27232,NA,NA
ΑΧΑΪΑΣ,3,2020,93741,13508,-16.35794207398683,-50.396592244418336
ΑΧΑΪΑΣ,3,2021,117837,21934,25.70486766729606,62.37785016286645
ΑΧΑΪΑΣ,3,2022,167371,33485,42.036032825004035,52.662533053706575
ΑΧΑΪΑΣ,3,2023,196729,37173,17.54067311541426,11.013886814991787
ΑΧΑΪΑΣ,3,2024,198319,39299,0.8082184121303926,5.719204799182203
ΒΟΙΩΤΙΑΣ,3,2019,30926,6642,NA,NA
ΒΟΙΩΤΙΑΣ,3,2020,26672,3238,-13.755416154691847,-51.24962360734718
ΒΟΙΩΤΙΑΣ,3,2021,33504,5091,25.614877024595078,57.22668313773934
ΒΟΙΩΤΙΑΣ,3,2022,49218,9037,46.90186246418338,77.50933019053231
ΒΟΙΩΤΙΑΣ,3,2023,58224,9525,18.29818359136901,5.400022131238242
ΒΟΙΩΤΙΑΣ,3,2024,59970,10384,2.9987633965375102,9.018372703412075
ΓΡΕΒΕΝΩΝ,3,2019,9075,3609,NA,NA
