geo,geo_label,NUTS_level,Country_code,year,education_level,education_level_pct,education_level_pct_diff
FRE1,Nord-Pas de Calais,2,FR,2024,high,38,8.882521489971351
FRE2,Picardie,2,FR,2008,high,20.1,NA
FRE2,Picardie,2,FR,2009,high,21.6,7.462686567164178
FRE2,Picardie,2,FR,2010,high,19.7,-8.796296296296306
FRE2,Picardie,2,FR,2011,high,19.8,0.5076142131979768
FRE2,Picardie,2,FR,2012,high,20.2,2.0202020202020132
FRE2,Picardie,2,FR,2013,high,21.4,5.940594059405938
FRE2,Picardie,2,FR,2014,high,22,2.8037383177570163
FRE2,Picardie,2,FR,2015,high,24.1,9.545454545454552
FRE2,Picardie,2,FR,2016,high,22.7,-5.809128630705403
FRE2,Picardie,2,FR,2017,high,24.1,6.1674008810572785
FRE2,Picardie,2,FR,2018,high,28.1,16.59751037344398
FRE2,Picardie,2,FR,2019,high,28.1,0
FRE2,Picardie,2,FR,2020,high,32.6,16.01423487544484
FRE2,Picardie,2,FR,2021,high,31.6,-3.067484662576687
FRE2,Picardie,2,FR,2022,high,31.8,0.632911392405061
FRE2,Picardie,2,FR,2023,high,32.6,2.5157232704402537
FRE2,Picardie,2,FR,2024,high,33.9,3.987730061349684
FRF,Grand Est,1,FR,2008,high,23.3,NA
FRF,Grand Est,1,FR,2009,high,23.7,1.7167381974248865
FRF,Grand Est,1,FR,2010,high,25.5,7.594936708860763
FRF,Grand Est,1,FR,2011,high,25.5,0
FRF,Grand Est,1,FR,2012,high,26.1,2.3529411764705936
FRF,Grand Est,1,FR,2013,high,27.7,6.130268199233708
FRF,Grand Est,1,FR,2014,high,27.8,0.3610108303249149
FRF,Grand Est,1,FR,2015,high,29.5,6.115107913669062
FRF,Grand Est,1,FR,2016,high,29.7,0.6779661016949128
FRF,Grand Est,1,FR,2017,high,29.8,0.3367003367003415
FRF,Grand Est,1,FR,2018,high,30.2,1.342281879194626
FRF,Grand Est,1,FR,2019,high,32.6,7.947019867549676
FRF,Grand Est,1,FR,2020,high,33.2,1.8404907975460165
FRF,Grand Est,1,FR,2021,high,33.5,0.9036144578313166
FRF,Grand Est,1,FR,2022,high,33.6,0.2985074626865714
FRF,Grand Est,1,FR,2023,high,36.1,7.440476190476191
FRF,Grand Est,1,FR,2024,high,38,5.263157894736838
FRF1,Alsace,2,FR,2008,high,28.8,NA
FRF1,Alsace,2,FR,2009,high,29.5,2.430555555555553
FRF1,Alsace,2,FR,2010,high,30.9,4.745762711864402
FRF1,Alsace,2,FR,2011,high,29.4,-4.854368932038835
FRF1,Alsace,2,FR,2012,high,28.8,-2.040816326530605
FRF1,Alsace,2,FR,2013,high,29.9,3.819444444444437
FRF1,Alsace,2,FR,2014,high,30.5,2.0066889632107072
FRF1,Alsace,2,FR,2015,high,32.4,6.229508196721307
FRF1,Alsace,2,FR,2016,high,33.7,4.012345679012359
FRF1,Alsace,2,FR,2017,high,32,-5.044510385756685
FRF1,Alsace,2,FR,2018,high,33,3.125
FRF1,Alsace,2,FR,2019,high,35.4,7.272727272727268
FRF1,Alsace,2,FR,2020,high,39,10.169491525423734
FRF1,Alsace,2,FR,2021,high,37.7,-3.3333333333333264
FRF1,Alsace,2,FR,2022,high,40.5,7.427055702917763
FRF1,Alsace,2,FR,2023,high,44.5,9.876543209876543
FRF1,Alsace,2,FR,2024,high,44.7,0.4494382022471974
FRF2,Champagne-Ardenne,2,FR,2008,high,20.9,NA
FRF2,Champagne-Ardenne,2,FR,2009,high,19.6,-6.220095693779891
FRF2,Champagne-Ardenne,2,FR,2010,high,20.9,6.632653061224475
FRF2,Champagne-Ardenne,2,FR,2011,high,21.3,1.9138755980861348
FRF2,Champagne-Ardenne,2,FR,2012,high,23.2,8.920187793427223
FRF2,Champagne-Ardenne,2,FR,2013,high,24.7,6.4655172413793105
FRF2,Champagne-Ardenne,2,FR,2014,high,23.3,-5.668016194331979
FRF2,Champagne-Ardenne,2,FR,2015,high,23.6,1.2875536480686725
FRF2,Champagne-Ardenne,2,FR,2016,high,22.9,-2.9661016949152663
FRF2,Champagne-Ardenne,2,FR,2017,high,24.9,8.733624454148472
FRF2,Champagne-Ardenne,2,FR,2018,high,28.3,13.65461847389559
FRF2,Champagne-Ardenne,2,FR,2019,high,27.1,-4.240282685512365
FRF2,Champagne-Ardenne,2,FR,2020,high,24.8,-8.48708487084871
FRF2,Champagne-Ardenne,2,FR,2021,high,31.3,26.209677419354836
FRF2,Champagne-Ardenne,2,FR,2022,high,28.9,-7.667731629392978
FRF2,Champagne-Ardenne,2,FR,2023,high,30.1,4.152249134948107
FRF2,Champagne-Ardenne,2,FR,2024,high,35.4,17.6079734219269
FRF3,Lorraine,2,FR,2008,high,20.1,NA
FRF3,Lorraine,2,FR,2009,high,21.5,6.965174129353226
FRF3,Lorraine,2,FR,2010,high,23.9,11.162790697674412
FRF3,Lorraine,2,FR,2011,high,24.7,3.347280334728037
FRF3,Lorraine,2,FR,2012,high,25.5,3.2388663967611366
FRF3,Lorraine,2,FR,2013,high,27.6,8.235294117647065
FRF3,Lorraine,2,FR,2014,high,28.1,1.8115942028985508
FRF3,Lorraine,2,FR,2015,high,30.5,8.540925266903908
FRF3,Lorraine,2,FR,2016,high,30.2,-0.9836065573770515
FRF3,Lorraine,2,FR,2017,high,30.5,0.9933774834437109
FRF3,Lorraine,2,FR,2018,high,28.9,-5.245901639344267
FRF3,Lorraine,2,FR,2019,high,33,14.186851211072671
FRF3,Lorraine,2,FR,2020,high,32.5,-1.5151515151515151
FRF3,Lorraine,2,FR,2021,high,31.1,-4.307692307692303
FRF3,Lorraine,2,FR,2022,high,30.3,-2.5723472668810308
FRF3,Lorraine,2,FR,2023,high,32.2,6.270627062706277
FRF3,Lorraine,2,FR,2024,high,33.9,5.279503105590049
FRG,Pays de la Loire,1,FR,2008,high,22.6,NA
FRG,Pays de la Loire,1,FR,2009,high,26.4,16.814159292035384
FRG,Pays de la Loire,1,FR,2010,high,26.4,0
FRG,Pays de la Loire,1,FR,2011,high,27.1,2.6515151515151625
FRG,Pays de la Loire,1,FR,2012,high,27.5,1.4760147601475961
FRG,Pays de la Loire,1,FR,2013,high,28.2,2.5454545454545427
FRG,Pays de la Loire,1,FR,2014,high,30.4,7.8014184397163095
FRG,Pays de la Loire,1,FR,2015,high,32.4,6.578947368421052
FRG,Pays de la Loire,1,FR,2016,high,32.2,-0.6172839506172708
FRG,Pays de la Loire,1,FR,2017,high,33.3,3.4161490683229636
FRG,Pays de la Loire,1,FR,2018,high,34.6,3.903903903903917
FRG,Pays de la Loire,1,FR,2019,high,35.1,1.4450867052023122
FRG,Pays de la Loire,1,FR,2020,high,35.9,2.279202279202271
FRG,Pays de la Loire,1,FR,2021,high,38.6,7.520891364902516
FRG,Pays de la Loire,1,FR,2022,high,40,3.626943005181343
FRG,Pays de la Loire,1,FR,2023,high,38.7,-3.2499999999999933
FRG,Pays de la Loire,1,FR,2024,high,40.5,4.651162790697667
FRG0,Pays de la Loire,2,FR,2008,high,22.6,NA
FRG0,Pays de la Loire,2,FR,2009,high,26.4,16.814159292035384
FRG0,Pays de la Loire,2,FR,2010,high,26.4,0
FRG0,Pays de la Loire,2,FR,2011,high,27.1,2.6515151515151625
FRG0,Pays de la Loire,2,FR,2012,high,27.5,1.4760147601475961
FRG0,Pays de la Loire,2,FR,2013,high,28.2,2.5454545454545427
FRG0,Pays de la Loire,2,FR,2014,high,30.4,7.8014184397163095
FRG0,Pays de la Loire,2,FR,2015,high,32.4,6.578947368421052
FRG0,Pays de la Loire,2,FR,2016,high,32.2,-0.6172839506172708
FRG0,Pays de la Loire,2,FR,2017,high,33.3,3.4161490683229636
