geo,year,unemployment_rate,geo_label,NUTS_level,Country_code,unemployment_rate_pct_diff
AT33,2006,8.7,Tirol,2,AT,-7.446808510638308
AT33,2007,7.5,Tirol,2,AT,-13.793103448275856
AT33,2008,7.5,Tirol,2,AT,0
AT33,2009,7.6,Tirol,2,AT,1.3333333333333286
AT33,2010,8.3,Tirol,2,AT,9.210526315789489
AT33,2011,7.1,Tirol,2,AT,-14.457831325301216
AT33,2012,6.4,Tirol,2,AT,-9.859154929577455
AT33,2013,7,Tirol,2,AT,9.374999999999995
AT33,2014,7.2,Tirol,2,AT,2.85714285714286
AT33,2015,6.5,Tirol,2,AT,-9.722222222222223
AT33,2016,6.4,Tirol,2,AT,-1.538461538461533
AT33,2017,6.9,Tirol,2,AT,7.8125
AT33,2018,6.6,Tirol,2,AT,-4.347826086956532
AT33,2019,6.9,Tirol,2,AT,4.5454545454545565
AT33,2020,8,Tirol,2,AT,15.942028985507239
AT33,2021,8.3,Tirol,2,AT,3.750000000000009
AT33,2022,6.3,Tirol,2,AT,-24.096385542168683
AT33,2023,6.9,Tirol,2,AT,9.523809523809533
AT33,2024,6.3,Tirol,2,AT,-8.69565217391305
AT34,2000,7.9,Vorarlberg,2,AT,NA
AT34,2001,6.2,Vorarlberg,2,AT,-21.518987341772153
AT34,2002,8.1,Vorarlberg,2,AT,30.64516129032257
AT34,2003,9.1,Vorarlberg,2,AT,12.34567901234568
AT34,2004,10.6,Vorarlberg,2,AT,16.483516483516482
AT34,2005,10.1,Vorarlberg,2,AT,-4.716981132075472
AT34,2006,9,Vorarlberg,2,AT,-10.891089108910888
AT34,2007,9.9,Vorarlberg,2,AT,10.000000000000004
AT34,2008,9.5,Vorarlberg,2,AT,-4.040404040404043
AT34,2009,9.8,Vorarlberg,2,AT,3.157894736842113
AT34,2010,9.1,Vorarlberg,2,AT,-7.142857142857154
AT34,2011,8.7,Vorarlberg,2,AT,-4.3956043956043995
AT34,2012,8.9,Vorarlberg,2,AT,2.298850574712656
AT34,2013,7,Vorarlberg,2,AT,-21.348314606741575
AT34,2014,8.3,Vorarlberg,2,AT,18.57142857142858
AT34,2015,8.2,Vorarlberg,2,AT,-1.2048192771084507
AT34,2016,7.8,Vorarlberg,2,AT,-4.8780487804877986
AT34,2017,7.8,Vorarlberg,2,AT,0
AT34,2018,8.7,Vorarlberg,2,AT,11.538461538461533
AT34,2019,7.9,Vorarlberg,2,AT,-9.195402298850563
AT34,2020,8.6,Vorarlberg,2,AT,8.860759493670876
AT34,2021,9.3,Vorarlberg,2,AT,8.139534883720943
AT34,2022,8.7,Vorarlberg,2,AT,-6.451612903225821
AT34,2023,9.1,Vorarlberg,2,AT,4.597701149425292
AT34,2024,11.1,Vorarlberg,2,AT,21.978021978021978
BE,2000,17.2,Belgium,0,BE,NA
BE,2001,16.5,Belgium,0,BE,-4.069767441860462
BE,2002,16.4,Belgium,0,BE,-0.6060606060606146
BE,2003,18,Belgium,0,BE,9.75609756097562
BE,2004,16.3,Belgium,0,BE,-9.44444444444444
BE,2005,14,Belgium,0,BE,-14.110429447852765
BE,2006,12.9,Belgium,0,BE,-7.857142857142854
BE,2007,13,Belgium,0,BE,0.7751937984496096
BE,2008,12,Belgium,0,BE,-7.6923076923076925
BE,2009,12.8,Belgium,0,BE,6.666666666666672
BE,2010,13,Belgium,0,BE,1.5624999999999944
BE,2011,13.8,Belgium,0,BE,6.153846153846159
BE,2012,14.4,Belgium,0,BE,4.347826086956519
BE,2013,14.9,Belgium,0,BE,3.4722222222222223
