geo,year,unemployment_pct,geo_label,NUTS_level,Country_code,unemployment_diff
DEA2,2017,3.7,Köln,2,DE,-5.1282051282051215
DEA2,2018,3.7,Köln,2,DE,0
DEA2,2019,3.4,Köln,2,DE,-8.108108108108116
DEA2,2020,4.1,Köln,2,DE,20.58823529411764
DEA2,2021,4.1,Köln,2,DE,0
DEA2,2022,3.2,Köln,2,DE,-21.95121951219511
DEA2,2023,3.3,Köln,2,DE,3.124999999999989
DEA2,2024,3.7,Köln,2,DE,12.121212121212132
DEA3,2013,5.1,Münster,2,DE,NA
DEA3,2014,4.9,Münster,2,DE,-3.9215686274509665
DEA3,2015,4.4,Münster,2,DE,-10.20408163265306
DEA3,2016,4.3,Münster,2,DE,-2.2727272727272845
DEA3,2017,3.9,Münster,2,DE,-9.302325581395348
DEA3,2018,3.6,Münster,2,DE,-7.692307692307689
DEA3,2019,3.4,Münster,2,DE,-5.55555555555556
DEA3,2020,3.6,Münster,2,DE,5.882352941176476
DEA3,2021,3.7,Münster,2,DE,2.77777777777778
DEA3,2022,3.4,Münster,2,DE,-8.108108108108116
DEA3,2023,3,Münster,2,DE,-11.764705882352938
DEA3,2024,3.4,Münster,2,DE,13.33333333333333
DEA4,2013,5,Detmold,2,DE,NA
DEA4,2014,5,Detmold,2,DE,0
DEA4,2015,4.7,Detmold,2,DE,-5.9999999999999964
DEA4,2016,4.1,Detmold,2,DE,-12.765957446808521
DEA4,2017,3.9,Detmold,2,DE,-4.8780487804877986
DEA4,2018,3.3,Detmold,2,DE,-15.384615384615389
DEA4,2019,3,Detmold,2,DE,-9.090909090909086
DEA4,2020,3.7,Detmold,2,DE,23.33333333333334
DEA4,2021,3.9,Detmold,2,DE,5.405405405405398
DEA4,2022,2.7,Detmold,2,DE,-30.769230769230766
DEA4,2023,2.4,Detmold,2,DE,-11.11111111111112
DEA4,2024,3.5,Detmold,2,DE,45.833333333333336
DEA5,2013,6.6,Arnsberg,2,DE,NA
DEA5,2014,5.7,Arnsberg,2,DE,-13.63636363636363
DEA5,2015,5.7,Arnsberg,2,DE,0
DEA5,2016,5,Arnsberg,2,DE,-12.280701754385968
DEA5,2017,4.7,Arnsberg,2,DE,-5.9999999999999964
DEA5,2018,4,Arnsberg,2,DE,-14.893617021276597
DEA5,2019,3.9,Arnsberg,2,DE,-2.500000000000002
DEA5,2020,5.1,Arnsberg,2,DE,30.769230769230766
DEA5,2021,4.2,Arnsberg,2,DE,-17.647058823529402
DEA5,2022,3.9,Arnsberg,2,DE,-7.1428571428571495
DEA5,2023,3.6,Arnsberg,2,DE,-7.692307692307689
DEA5,2024,3.6,Arnsberg,2,DE,0
DEB1,2013,3.8,Koblenz,2,DE,NA
DEB1,2014,4.1,Koblenz,2,DE,7.894736842105258
DEB1,2015,3.4,Koblenz,2,DE,-17.073170731707314
DEB1,2016,3.4,Koblenz,2,DE,0
DEB1,2017,3.1,Koblenz,2,DE,-8.823529411764701
DEB1,2018,2.8,Koblenz,2,DE,-9.677419354838717
DEB1,2019,2.3,Koblenz,2,DE,-17.857142857142858
DEB1,2020,NA,Koblenz,2,DE,NA
DEB1,2021,2.8,Koblenz,2,DE,NA
DEB1,2022,2.8,Koblenz,2,DE,0
DEB1,2023,2.5,Koblenz,2,DE,-10.714285714285708
DEB1,2024,3.2,Koblenz,2,DE,28.000000000000007
DEB2,2013,3.1,Trier,2,DE,NA
DEB2,2014,3,Trier,2,DE,-3.2258064516129057
DEB2,2015,2.9,Trier,2,DE,-3.333333333333336
DEB2,2016,2.7,Trier,2,DE,-6.896551724137923
DEB2,2017,2,Trier,2,DE,-25.92592592592593
DEB2,2018,2.6,Trier,2,DE,30.000000000000004
DEB2,2019,2,Trier,2,DE,-23.076923076923077
DEB2,2020,NA,Trier,2,DE,NA
DEB2,2021,NA,Trier,2,DE,NA
DEB2,2022,NA,Trier,2,DE,NA
DEB2,2023,NA,Trier,2,DE,NA
DEB2,2024,NA,Trier,2,DE,NA
DEB3,2013,4.4,Rheinhessen-Pfalz,2,DE,NA
DEB3,2014,4,Rheinhessen-Pfalz,2,DE,-9.090909090909099
DEB3,2015,4.1,Rheinhessen-Pfalz,2,DE,2.499999999999991
DEB3,2016,4.1,Rheinhessen-Pfalz,2,DE,0
DEB3,2017,3.8,Rheinhessen-Pfalz,2,DE,-7.317073170731704
DEB3,2018,3.5,Rheinhessen-Pfalz,2,DE,-7.894736842105258
DEB3,2019,3.3,Rheinhessen-Pfalz,2,DE,-5.71428571428572
DEB3,2020,4,Rheinhessen-Pfalz,2,DE,21.212121212121218
DEB3,2021,4.2,Rheinhessen-Pfalz,2,DE,5.000000000000004
