NUTS_label,year,GVA_GHI,GVA_total,GVA_GHI_pct,GVA_GHI_pct_diff,NUTS_level
Korinthia,2004,431.429624,1842.320733,23.417726146818538,7.6707423483509185,3
Korinthia,2005,465.194664,1891.857948,24.58930198706441,7.826314680699813,3
Korinthia,2006,469.515686,2013.680883,23.316290578302123,0.9288631909157127,3
Korinthia,2007,498.559822,2161.248164,23.068143228738446,6.185977777960751,3
Korinthia,2008,575.450178,2325.785991,24.742180932673783,15.422493471605911,3
Korinthia,2009,530.395983,2227.584187,23.810367576469062,-7.829382407454924,3
Korinthia,2010,487.324424,2107.178218,23.12687269814973,-8.120642007200114,3
Korinthia,2011,424.950907,1948.518892,21.808919007391385,-12.799177288926533,3
Korinthia,2012,371.604315,1842.248633,20.171235757404958,-12.553589396151116,3
Korinthia,2013,366.048493,1786.994865,20.484026013135747,-1.4950908199222548,3
Korinthia,2014,359.575568,1662.488264,21.62875827675617,-1.7683244498427786,3
Korinthia,2015,349.997365,1717.89603,20.37360578800569,-2.6637524493877667,3
Korinthia,2016,347.99796,1757.175367,19.804395539309876,-0.5712628722219164,3
Korinthia,2017,357.751045,1766.560217,20.251279382230084,2.8026270613770263,3
Korinthia,2018,364.557864,1786.493102,20.406340421458843,1.9026692151241709,3
Korinthia,2019,362.412949,1859.699796,19.48771246732986,-0.5883606449921401,3
Korinthia,2020,286.935785,1741.892443,16.47264652608634,-20.826287859819274,3
Korinthia,2021,331.945633,1895.964483,17.50800903584226,15.686383627612003,3
Korinthia,2022,415.423335,2319.475052,17.910230793032046,25.14800428177346,3
Kozani,2000,246.776682,1697.979465,14.533549261739747,NA,3
Kozani,2001,248.645282,1809.922052,13.737900023111052,0.7572028219424779,3
Kozani,2002,264.930709,1929.280447,13.732099416233806,6.549662583181437,3
Kozani,2003,281.261301,2197.510811,12.799086111071697,6.16409930794396,3
Kozani,2004,292.748417,2345.924916,12.479019042909556,4.084143804767516,3
Kozani,2005,286.349457,2454.109678,11.668160537688895,-2.18582223793888,3
Kozani,2006,302.187484,2630.667973,11.4871008846999,5.531013456749811,3
Kozani,2007,324.422935,2632.342758,12.324494369665215,7.358164112448817,3
Kozani,2008,376.901948,2656.457089,14.18814365798325,16.176110668624588,3
Kozani,2009,361.399434,2749.830445,13.142607925413378,-4.113142445207001,3
Kozani,2010,319.222456,2790.362076,11.44018042481452,-11.670460446819616,3
Kozani,2011,261.660118,2704.57613,9.674718159995,-18.032045339567215,3
Kozani,2012,232.42152,3032.850654,7.663467361752921,-11.174266152398518,3
Kozani,2013,220.91126,2889.88987,7.64427953789118,-4.952321110368777,3
Kozani,2014,206.055378,2803.317288,7.350412273417977,-6.7248188254414965,3
Kozani,2015,202.955968,2582.166238,7.859910993073718,-1.504163604019099,3
Kozani,2016,200.529288,2288.786091,8.76138179922206,-1.1956682150879172,3
Kozani,2017,205.887663,2274.66775,9.051329056738066,2.672115905582827,3
Kozani,2018,209.049534,2235.766617,9.350239529048302,1.5357263052716232,3
Kozani,2019,203.975918,2069.001331,9.858665383333193,-2.426992255337908,3
Kozani,2020,163.957114,1745.769466,9.391681845350822,-19.619376832514128,3
Kozani,2021,195.30252,1878.037247,10.399288955103456,19.11805180957259,3
Kozani,2022,243.843922,2163.210425,11.272316330483658,24.854467827655274,3
Lakonia,2000,209.808153,779.36293,26.92046861915796,NA,3
Lakonia,2001,215.112804,850.947505,25.279209673456883,2.528334063357398,3
Lakonia,2002,217.928888,909.265292,23.967580190006856,1.3091196561223708,3
Lakonia,2003,247.011093,962.880238,25.65335576032458,13.344814112023546,3
Lakonia,2004,271.975134,1028.440428,26.445395046255417,10.106445300414114,3
Lakonia,2005,277.585016,1003.710316,27.655889510654386,2.062645182849683,3
Lakonia,2006,284.386666,1095.732615,25.954020361071393,2.4502943631510696,3
Lakonia,2007,321.254122,1183.394924,27.146822711908133,12.963848312072413,3
Lakonia,2008,300.517301,1211.223333,24.811056129150707,-6.454958732015903,3
Lakonia,2009,302.624123,1239.263241,24.419680418811033,0.7010651276946024,3
