geo,NUTS_label,NUTS_label_el,NUTS_level,year,GFCF_GHI,GFCF_Total,GFCF_pct,GFCF_pct_diff
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2017,23.358489859547557,894.5007585252316,2.6113437732639633,-13.160440297390682
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2018,17.640891637237267,754.2000928757741,2.3390200828499412,-24.47760217672324
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2019,36.47050947549054,761.6993264723724,4.788045388512414,106.7384700584339
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2020,19.65987263021949,694.5819841250515,2.830461065727837,-46.09378121402002
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2021,31.690750691564705,834.3624296129983,3.798199627260758,61.19509667042487
EL53,Dytiki Makedonia,Δυτική Μακεδονία,2,2022,43.276333090698145,1039.63214197633,4.162658246447659,36.558245375415595
EL62,Ionia Nisia,Ιόνια Νησιά,2,2000,44.86337699487342,579.0414380793864,7.74786984912169,NA
EL62,Ionia Nisia,Ιόνια Νησιά,2,2001,49.678424107067094,691.4495430051995,7.18467813156014,10.732689856904653
EL62,Ionia Nisia,Ιόνια Νησιά,2,2002,76.32843680609558,714.9282211345064,10.676377648789886,53.64504445952692
EL62,Ionia Nisia,Ιόνια Νησιά,2,2003,68.05829703063127,777.69377578957085,8.751297637882413,-10.834939272336653
EL62,Ionia Nisia,Ιόνια Νησιά,2,2004,80.78189833096776,944.7536855035016,8.550577740050356,18.695150856639767
EL62,Ionia Nisia,Ιόνια Νησιά,2,2005,48.99574494759529,697.5115517801463,7.02436322703923,-39.34811392168936
EL62,Ionia Nisia,Ιόνια Νησιά,2,2006,62.654261845383346,966.6482009002096,6.481599178174165,27.876945053895774
EL62,Ionia Nisia,Ιόνια Νησιά,2,2007,143.52477415559602,1151.4655627652012,12.464530316558204,129.07424000905627
EL62,Ionia Nisia,Ιόνια Νησιά,2,2008,123.45075863265224,1040.6495653785746,11.86285592573543,-13.986446340742143
EL62,Ionia Nisia,Ιόνια Νησιά,2,2009,71.09119144917676,695.7631759295081,10.217728374917536,-42.41332152464115
EL62,Ionia Nisia,Ιόνια Νησιά,2,2010,101.45204700716111,788.7031683916347,12.863146881233849,42.70691620028536
EL62,Ionia Nisia,Ιόνια Νησιά,2,2011,58.379818613075486,596.3036407672221,9.790283778573324,-42.455750933291
