geo,year,Hotel_Arrivals_Total
EL613,2022,302590.0
EL613,2022,155111.0
EL613,2023,339019.0
EL613,2023,169983.0
EL623,2015,5121.0
EL623,2015,116856.0
EL623,2016,5110.0
EL623,2016,128401.0
EL623,2017,5889.0
EL623,2017,146094.0
EL623,2018,7382.0
EL623,2018,200789.0
EL623,2019,7435.0
EL623,2019,219269.0
EL623,2020,4496.0
EL623,2020,44536.0
EL623,2021,4901.0
EL623,2021,97037.0
EL623,2022,7005.0
EL623,2022,213631.0
EL623,2023,7522.0
EL623,2023,233770.0
EL651,2015,317869.0
EL651,2015,51084.0
EL651,2016,311786.0
EL651,2016,50827.0
EL651,2017,348654.0
EL651,2017,58959.0
EL651,2018,437490.0
EL651,2018,75713.0
EL651,2019,443619.0
EL651,2019,77027.0
EL651,2020,159479.0
EL651,2020,34158.0
EL651,2021,239374.0
EL651,2021,47352.0
EL651,2022,354221.0
EL651,2022,68969.0
EL651,2023,409293.0
EL651,2023,80345.0
EL653,2015,128092.0
EL653,2015,194336.0
EL653,2016,147428.0
EL653,2016,218288.0
EL653,2017,160284.0
EL653,2017,254615.0
EL653,2018,220660.0
EL653,2018,456201.0
EL653,2019,228505.0
EL653,2019,392309.0
EL653,2020,130801.0
EL653,2020,168847.0
EL653,2021,159110.0
EL653,2021,210203.0
EL653,2022,217206.0
EL653,2022,323138.0
EL653,2023,252506.0
EL653,2023,386397.0
